时间,PB市值加权值
2011/10/28,1.9267
2011/10/21,1.8532
2011/10/14,1.9321
2011/9/30,1.875
2011/9/23,1.9164
2011/9/16,1.9548
2011/9/9,1.9627
2011/9/2,1.9837
2011/8/26,2.0585
2011/8/19,2.0478
2011/8/12,2.1115
2011/8/5,2.1391
2011/7/29,2.2096
2011/7/22,2.261
2011/7/15,2.2989
2011/7/8,2.288
2011/7/1,2.2677
2011/6/24,2.2298
2011/6/17,2.1239
2011/6/10,2.136
2011/6/3,2.1395
2011/5/27,2.1188
2011/5/20,2.2138
2011/5/13,2.2168
2011/5/6,2.2157
2011/4/29,2.2753
2011/4/22,2.4244
2011/4/15,2.4786
2011/4/8,2.4665
2011/4/1,2.422
2011/3/25,2.4881
2011/3/18,2.4408
2011/3/11,2.4833
2011/3/4,2.5011
2011/2/25,2.4499
2011/2/18,2.478
2011/2/11,2.4207
2011/2/1,2.4038
2011/1/28,2.367
2011/1/21,2.3377
2011/1/14,2.4073
2011/1/7,2.4341
2010/12/31,2.341
2010/12/24,2.3612
2010/12/17,2.3991
2010/12/10,2.3685
2010/12/3,2.3678
2010/11/26,2.3787
2010/11/19,2.4137
2010/11/12,2.5042
2010/11/5,2.6321
2010/10/29,2.5723
2010/10/22,2.7107
2010/10/15,2.7157
2010/10/8,2.4702
2010/9/30,2.3875
2010/9/21,2.3325
2010/9/17,2.332
2010/9/10,2.381
2010/9/3,2.3784
2010/8/27,2.36
2010/8/20,2.4417
2010/8/13,2.4161
2010/8/6,2.4739
2010/7/30,2.4721
2010/7/23,2.4452
2010/7/16,2.3022
2010/7/9,2.3466
2010/7/2,2.2472
2010/6/25,2.3778
2010/6/18,2.3303
2010/6/11,2.364
2010/6/4,2.3594
2010/5/28,2.4371
2010/5/21,2.3733
2010/5/14,2.4579
2010/5/7,2.4233
2010/4/30,2.6072
2010/4/23,2.7795
2010/4/16,2.963
2010/4/9,2.9827
,
数据来源于：理杏仁网站(lixinger.com),
